Computer Topography Pelvis,Abd pelvis CT scans w con,7415,Baptist Hospital Miami
Computer Topography Head,CT HEAD W/O DYE,2320,Aurora BayCare Medical Center
Computer Topography Pelvis,CT PELVIS W/O DYE,2320,Aurora BayCare Medical Center
Computer Topography Abdomen,CT ABDOMEN W/O DYE,2320,Aurora BayCare Medical Center
Computer Topography Heart,CT HEART W/O DYE CA+EVAL,49,Aurora BayCare Medical Center
Fluoroscopy,FLUOROSCOPY UP TO 1 HR,435,Aurora BayCare Medical Center
Ultrasound Abdomen,US ABDOMEN COMPLETE,1060,Aurora BayCare Medical Center
MRI Breast,CAD BREAST MRI,50,Aurora BayCare Medical Center
Computer Topography Lower Extremity,HC RPR BLOOD VESSEL DIRECT LOWER EXTREMITY,17829,Brigham and Women's Hospital
Computer Topography Lower Extremity,CT LOWER EXTREMITY W/O DYE,2320,Aurora BayCare Medical Center
Mammography,MAMMOGRAM DX UNILATERAL,356,Aurora BayCare Medical Center
MRI Breast,HC COMPUTER AIDED DETECTION BREAST MRI,164,Brigham and Women's Hospital
MRI Cardiac,HC CARDIAC MRI FOR VELOCITY FLOW MAPPING,645,Brigham and Women's Hospital
MRI Abdomen,HC MRI ABDOMEN W/O & W/CONTRAST MATERIAL,5451,Brigham and Women's Hospital
MRI Lower Extremity,HC MRI LOWER EXTREM OTH/THN JT W/O & W/CONTR MATR,5431,Brigham and Women's Hospital
MRI Upper Extremity,HC MRI UPPER EXTREM OTHER THAN JT W/O & W/CONTRAS,5439,Brigham and Women's Hospital
MRI Pelvis,HC MRI PELVIS W/O & W/CONTRAST MATERIAL,5440,Brigham and Women's Hospital
MRI Chest,HC MRI CHEST W/O & W/CONTRAST MATERIAL,6313,Brigham and Women's Hospital
MRI Brain,HC MRI BRAIN OPEN INTRACRANIAL PX W/O & W/CONTRAST,8209,Brigham and Women's Hospital
Computer Topography Abdomen,CT ABDOMEN W & W/O CONTRA,6299,AtlantiCare Regional Medical Center
Computer Topography Cervical Spine,CT CERVICAL SPINE W/O & W/CONTR.,6055,AtlantiCare Regional Medical Center
Computer Topography Head,CT HEAD OR BRAIN W&W/O CONTRAST,5274,AtlantiCare Regional Medical Center
Computer Topography Pelvis,CT PELVIS W/O CONTRAST,4239,AtlantiCare Regional Medical Center
Computer Topography Thoracic Spine,CT THORACIC SPINE W/CONTR,5267,AtlantiCare Regional Medical Center
Computer Topography Lower Extremity,CTA LOWER EXTREMITY ,4476,AtlantiCare Regional Medical Center
Fluoroscopy,HCPR FLUOROSCOPY SPX UP TO 1 HOUR PHYS/QHP TIME (26),54,Massachusetts General Hospital
Mammography,DIAG.MAMMOGRAM W/CAD-BOTH BREASTS,1149,AtlantiCare Regional Medical Center
Ultrasound Abdomen,HC US ABDOMINAL AORTA REAL TIME SCREEN STUDY AAA,368,Brigham and Women's Hospital
Mammography,HC SCREENING MAMMOGRAPHY DIGITAL (52),554,Brigham and Women's Hospital
Ultrasound Pelvic,HC US PELVIC NONOBSTETRIC IMAGE DCMTN LIMITED/F/U,626,Brigham and Women's Hospital
Ultrasound Uterus,HC US PREG UTERUS REAL TIME W/IMAGE DCMTN TRANSVAG,578,Brigham and Women's Hospital
Computer Topography Abdomen,HC CT ABDOMEN WO/CONT LTD (52),1799,Brigham and Women's Hospital
Computer Topography Heart,HC CT HEART CONTRAST EVAL CARDIAC STRUCTURE&MORPH,877,Brigham and Women's Hospital
MRI Brain,Brain MRI open proc w con,2058,Baptist Hospital Miami
Computer Topography Head,Brain or head CT w con,4260,Baptist Hospital Miami
Computer Topography Pelvis,HC CT PELVIS W/O & W/CONTRAST MATERIAL,2842,Brigham and Women's Hospital
Computer Topography Lumbar Spine,HC CT LUMBAR SPINE W/O & W/CONTRAST MATERIAL,2855,Brigham and Women's Hospital
Computer Topography Thoracic Spine,HC CT THORACIC SPINE W/O & W/CONTRAST MATERIAL,2794,Brigham and Women's Hospital
Computer Topography Cervical Spine,HC CT CERVICAL SPINE W/O &W/CONTRAST MATERIAL,2807,Brigham and Women's Hospital
Computer Topography Head,HC CT HEAD/BRAIN W/O & W/CONTRAST MATERIAL,2296,Brigham and Women's Hospital
Fluoroscopy,FLUOROSCOPY UP TO 1 HOUR,1020,AtlantiCare Regional Medical Center
XRay Bone Density,HC XR BONE DENSITY HIP/PELVIS/SPINE INC VERTERBRAL FX ASSESSMENT,513,Brigham and Women's Hospital
Fluoroscopy,HC FLUOROSCOPY SPX >1 HOUR PHYS/QHP TIME,1808,Brigham and Women's Hospital
Computer Topography Lower Extremity,HC RPR BLOOD VESSEL DIRECT LOWER EXTREMITY,17829,Massachusetts General Hospital
MRI Breast,Breast MRI bil w con,4571,Baptist Hospital Miami
MRI Abdomen,MRI ABDOMEN W/O THEN W/CONTRAST,6760,AtlantiCare Regional Medical Center
MRI Brain,MRI BRAIN W & W/O CONTRAST,7072,AtlantiCare Regional Medical Center
MRI Breast,MRI BREAST BILATERAL W&W/O CONTR.,2416,AtlantiCare Regional Medical Center
MRI Chest,MRI CHEST W & W/O CONTRAST,5565,AtlantiCare Regional Medical Center
MRI Pelvis,MRI PELVIS,4413,AtlantiCare Regional Medical Center
MRI Breast,Computer-Aided Detection   Including Computer Algorithm Analysis Of Mri Image Data For Lesion Detection/Characterization   Pharmacokinetic Analysis   With Further Physician Review For Interpretation   Breast Mri (List Separately In Addition To Code For Primary Procedure),81,Baptist Hospital Jacksonville
Mammography,Diagnostic Mammography   Including Computer-Aided Detection (Cad) When Performed; Bilateral,515,Baptist Hospital Jacksonville
Fluoroscopy,Fluoroscopy (Separate Procedure)   Up To 1 Hour Physician Or Other Qualified Health Care Professional Time,653,Baptist Hospital Jacksonville
MRI Cardiac,Cardiac MRI morp func wo con,1708,Baptist Hospital Miami
MRI Breast,HC COMPUTER AIDED DETECTION BREAST MRI,164,Massachusetts General Hospital
MRI Cardiac,HC CARDIAC MRI FOR VELOCITY FLOW MAPPING,645,Massachusetts General Hospital
MRI Abdomen,HC MRI ABDOMEN W/O & W/CONTRAST MATERIAL,5451,Massachusetts General Hospital
MRI Lower Extremity,HC MRI LOWER EXTREM OTH/THN JT W/O & W/CONTR MATR,5431,Massachusetts General Hospital
MRI Upper Extremity,HC MRI UPPER EXTREM OTHER THAN JT W/O & W/CONTRAS,5439,Massachusetts General Hospital
MRI Pelvis,HC MRI PELVIS W/O & W/CONTRAST MATERIAL,5440,Massachusetts General Hospital
MRI Chest,HC MRI CHEST W/O & W/CONTRAST MATERIAL,6313,Massachusetts General Hospital
MRI Brain,HC MRI BRAIN OPEN INTRACRANIAL PX W/O & W/CONTRAST,8209,Massachusetts General Hospital
Ultrasound Abdomen,HC US ABDOMINAL AORTA REAL TIME SCREEN STUDY AAA,368,Massachusetts General Hospital
Mammography,HC SCREENING MAMMOGRAPHY DIGITAL  (INCL. CAD),554,Massachusetts General Hospital
