Basic Metaboloic Panel,BASIC METABOLIC PANEL,200,AtlantiCare Regional Medical Center
Thyroid Simulating Hormone,THYROID STIM IMMUNOGLOB,367,Aurora BayCare Medical Center
Complete Blood Count,CBC W/AUTO DIFF,112,Aurora BayCare Medical Center
Prothrombin Time,POC PROTHROMBIN TIME,61,Aurora BayCare Medical Center
Complete Blood Count,CBC,153,AtlantiCare Regional Medical Center
Basic Metaboloic Panel,BASIC METABOLIC PANEL,192,Aurora BayCare Medical Center
Comprehensive Metabolic Panel,COMPREHENSIVE METABOLIC PANEL,258,Aurora BayCare Medical Center
Lipid Panel,LIPID PANEL,209,Aurora BayCare Medical Center
Basic Metaboloic Panel,Basic metabolic panel (BMP),488,Baptist Hospital Miami
Comprehensive Metabolic Panel,COMPREHEN METABOLIC PANEL,224,AtlantiCare Regional Medical Center
Lipid Panel,LIPID PANEL(CHOLES HDL TRIGLICER),312,AtlantiCare Regional Medical Center
Complete Blood Count,HC DFCI CBC HEMOGRAM AUTOMATED,64,Brigham and Women's Hospital
Prothrombin Time,HC PROTHROMBIN TIME,55,Brigham and Women's Hospital
Thyroid Simulating Hormone,HC THYROID STIMULATING IMMUNE GLOBULINS TSI,707,Brigham and Women's Hospital
Lipid Panel,HC LIPID PANEL,186,Brigham and Women's Hospital
Comprehensive Metabolic Panel,HC COMPREHENSIVE METABOLIC PANEL,144,Brigham and Women's Hospital
Basic Metaboloic Panel,HC BASIC METABOLIC PANEL CALCIUM TOTAL,117,Brigham and Women's Hospital
Basic Metaboloic Panel,Basic Metabolic Panel (Calcium  Ionized) This Panel Must Include The Following: Calcium  Ionized (82330) Carbon Dioxide (Bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Potassium (84132) Sodium (84295) Urea Nitrogen (Bun) (84520),128,Baptist Hospital Jacksonville
Complete Blood Count,Blood Count; Complete (Cbc)  Automated (Hgb  Hct  Rbc  Wbc And Platelet Count),55,Baptist Hospital Jacksonville
Comprehensive Metabolic Panel,Comprehensive Metabolic Panel.  This Panel Must Include The Following: Albumin (82040) Bilirubin  Total (82247) Calcium  Total (82310) Carbon Dioxide (Bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphatase  Alkaline (84075) Potassium (84132) Protein  Total (84155) Sodium (84295) Transferase  Alanine Amino (Alt) (Sgpt) (84460) Transferase  Aspartate Amino (Ast) (Sgot) (84450) Urea Nitrogen (Bun) (84520),126,Baptist Hospital Jacksonville
Complete Blood Count,CBC,179,Baptist Hospital Miami
Thyroid Simulating Hormone,THYROID STIM. IMMUNO.,1188,AtlantiCare Regional Medical Center
Lipid Panel,Lipid Panel This Panel Must Include The Following: Cholesterol  Serum  Total (82465) Lipoprotein  Direct Measurement  High Density Cholesterol (Hdl Cholesterol) (83718) Triglycerides (84478),142,Baptist Hospital Jacksonville
Prothrombin Time,Prothrombin Time;,72,Baptist Hospital Jacksonville
Comprehensive Metabolic Panel,Comprehensive metabolic panel,852,Baptist Hospital Miami
Thyroid Simulating Hormone,Thyroid Stimulating Hormone (Tsh),166,Baptist Hospital Jacksonville
Complete Blood Count,CBC W/O DIFFERENTIAL,99,Northwestern Memorial Hospital
Prothrombin Time,HC PROTHROMBIN TIME SUBSTITUTION PLASMA FRCTJ EACH,117,Martha's Vineyard Hospital
Thyroid Simulating Hormone,HC THYROID STIMULATING IMMUNE GLOBULINS TSI,294,Martha's Vineyard Hospital
Prothrombin Time,PROTHROMBIN TIME,96,Northwestern Memorial Hospital
Lipid Panel,HC LIPID PANEL,145,Martha's Vineyard Hospital
Comprehensive Metabolic Panel,HC COMPREHENSIVE METABOLIC PANEL,236,Martha's Vineyard Hospital
Basic Metaboloic Panel,HC BASIC METABOLIC PANEL CALCIUM TOTAL,171,Martha's Vineyard Hospital
Thyroid Simulating Hormone,THYROID STIMULATING IMMUNOGLOBULIN,270,Northwestern Memorial Hospital
Lipid Panel,CARDIO IQ ADVANCED PANEL  LIPID PANEL,123,Northwestern Memorial Hospital
Prothrombin Time,HC PROTHROMBIN TIME SUBSTITUTION PLASMA FRCTJ EACH,53,Massachusetts General Hospital
Thyroid Simulating Hormone,HC THYROID STIMULATING IMMUNE GLOBULINS TSI,707,Massachusetts General Hospital
Basic Metaboloic Panel,BASIC METABOLIC PANEL W/ICA (POCT),104,Northwestern Memorial Hospital
Lipid Panel,HC LIPID PANEL,186,Massachusetts General Hospital
Comprehensive Metabolic Panel,HC COMPREHENSIVE METABOLIC PANEL,144,Massachusetts General Hospital
Basic Metaboloic Panel,HC BASIC METABOLIC PANEL CALCIUM TOTAL,117,Massachusetts General Hospital
Comprehensive Metabolic Panel,COMPREHENSIVE METABOLIC PANEL,451,Northwestern Memorial Hospital
Prothrombin Time,PROTHROMBIN TIME AND INR,48,Cleveland Clinic Hospital
Basic Metaboloic Panel,BASIC METABOLIC PANEL,109,Cleveland Clinic Hospital
Thyroid Simulating Hormone,THYROID STIM IMMUNOGLO,317,Cleveland Clinic Hospital
Lipid Panel,LIPOEL LIPID PANEL,45,Cleveland Clinic Hospital
Complete Blood Count,CBC AUTO W AUTO DIFF,67,Cleveland Clinic Hospital
Lipid Panel,Lipid panel,183,Baptist Hospital Miami
Comprehensive Metabolic Panel,COMP METABOLIC PANEL    ,418,Chippenham and Johnston-Willis Medical Center
Lipid Panel,LIPID PANEL             ,350,Chippenham and Johnston-Willis Medical Center
Complete Blood Count,CBC                     ,253,Chippenham and Johnston-Willis Medical Center
Thyroid Simulating Hormone,THYROID STIM IMMUNO TSI ,934,Chippenham and Johnston-Willis Medical Center
Basic Metaboloic Panel,BASIC METABOLIC CHEM PANEL,63,Cooper University Health Care
Complete Blood Count,CBC & DIFFERENTIAL,65,Cooper University Health Care
Lipid Panel,LIPID PANEL,51,Cooper University Health Care
Complete Blood Count,CBC - AUTO DIFF,93,Dallas County Hospital
Comprehensive Metabolic Panel,COMP METABOLIC PANEL,170,Dallas County Hospital
Basic Metaboloic Panel,BASIC METABOLIC CALC ION,306,Chippenham and Johnston-Willis Medical Center
Prothrombin Time,PROTHROMBIN TIME,51,Cooper University Health Care
Lipid Panel,LIPID PANEL,107,Dallas County Hospital
Prothrombin Time,POCT pt prothrombin time,60,Baptist Hospital Miami
